id,dragName,realName,hometown,biography,twitter,instagram,tiktok,metadataSourceUrl,hasImages,imageCount,imageUrls,lastImageScrapeAt,age,outcome,season,franchise,seasonMetadataSourceUrl,createdAt,updatedAt
92f016ad-2ea6-47f4-91ec-f795a4c74660,Fontana,Runner-up,"São Leopoldo, Brazil",,,,,https://rupaulsdragrace.fandom.com/wiki/Fontana,false,0,,,30,Runner-up,Drag Race Sweden Season 1,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:48:53.434Z,2025-08-20T19:48:53.434Z
26241155-6e30-4da1-8dec-902e123f2da6,Admira Thunderpussy,Winner,"Stockholm, Stockholm County",,,,,https://rupaulsdragrace.fandom.com/wiki/Admira_Thunderpussy,false,0,,,29,Winner,Drag Race Sweden Season 1,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:48:49.222Z,2025-08-20T19:48:49.222Z
4c35e9d6-3cb0-4bde-bbe9-e54646c11c4b,Sarain Fox,Guest,Recurring,,,,,https://rupaulsdragrace.fandom.com/wiki/Sarain_Fox?action=edit,false,0,,,,recurring,Canada’s Drag Race Season 3,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:48:44.624Z,2025-08-20T19:48:44.624Z
4c35e9d6-3cb0-4bde-bbe9-e54646c11c4b,Sarain Fox,Guest,Recurring,,,,,https://rupaulsdragrace.fandom.com/wiki/Sarain_Fox?action=edit,false,0,,,,recurring,Canada’s Drag Race Season 1,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:48:44.624Z,2025-08-20T19:48:44.624Z
4c35e9d6-3cb0-4bde-bbe9-e54646c11c4b,Sarain Fox,Guest,Recurring,,,,,https://rupaulsdragrace.fandom.com/wiki/Sarain_Fox?action=edit,false,0,,,,recurring,Canada’s Drag Race Season 2,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:48:44.624Z,2025-08-20T19:48:44.624Z
4c35e9d6-3cb0-4bde-bbe9-e54646c11c4b,Sarain Fox,Guest,Recurring,,,,,https://rupaulsdragrace.fandom.com/wiki/Sarain_Fox?action=edit,false,0,,,,recurring,Canada’s Drag Race Season 4,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:48:44.624Z,2025-08-20T19:48:44.624Z
76f37059-fdb2-463a-8ab5-d7352e3af785,Amanda Brugel,,Main,,,,,https://rupaulsdragrace.fandom.com/wiki/Amanda_Brugel,false,0,,,,,Canada’s Drag Race Season 4,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:48:41.239Z,2025-08-20T19:48:41.239Z
76f37059-fdb2-463a-8ab5-d7352e3af785,Amanda Brugel,,Main,,,,,https://rupaulsdragrace.fandom.com/wiki/Amanda_Brugel,false,0,,,,,Canada’s Drag Race Season 3,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:48:41.239Z,2025-08-20T19:48:41.239Z
76f37059-fdb2-463a-8ab5-d7352e3af785,Amanda Brugel,,Main,,,,,https://rupaulsdragrace.fandom.com/wiki/Amanda_Brugel,false,0,,,,,Canada’s Drag Race Season 2,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:48:41.239Z,2025-08-20T19:48:41.239Z
76f37059-fdb2-463a-8ab5-d7352e3af785,Amanda Brugel,,Main,,,,,https://rupaulsdragrace.fandom.com/wiki/Amanda_Brugel,false,0,,,,,Canada’s Drag Race Season 1,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:48:41.239Z,2025-08-20T19:48:41.239Z
1e2ec649-810d-447a-aef1-364e75e90355,3,"August 7, 2024 (2024-08-07)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_13),false,0,,,11,versex,Drag Race Philippines Season 1,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:18.386Z,2025-08-20T19:48:18.386Z
1e2ec649-810d-447a-aef1-364e75e90355,3,"August 7, 2024 (2024-08-07)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_13),false,0,,,11,versex,Drag Race Philippines Season 2,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:18.386Z,2025-08-20T19:48:18.386Z
1e2ec649-810d-447a-aef1-364e75e90355,3,"August 7, 2024 (2024-08-07)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_13),false,0,,,11,versex,Drag Race Philippines Season 3,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:18.386Z,2025-08-20T19:48:18.386Z
6e90ce34-bfac-4ce4-a39e-6800e012839d,2,"August 2, 2023 (2023-08-02)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_12),false,0,,,12,hana beshie,Drag Race Philippines Season 2,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:16.146Z,2025-08-20T19:48:16.146Z
6e90ce34-bfac-4ce4-a39e-6800e012839d,2,"August 2, 2023 (2023-08-02)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_12),false,0,,,12,hana beshie,Drag Race Philippines Season 3,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:16.146Z,2025-08-20T19:48:16.146Z
6e90ce34-bfac-4ce4-a39e-6800e012839d,2,"August 2, 2023 (2023-08-02)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_12),false,0,,,12,hana beshie,Drag Race Philippines Season 1,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:16.146Z,2025-08-20T19:48:16.146Z
00dbe26c-93c6-42a0-bebc-1a1a5e6dfe61,1,"August 17, 2022 (2022-08-17)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_18),false,0,,,12,lady morgana,Drag Race Philippines Season 3,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:13.785Z,2025-08-20T19:48:13.785Z
00dbe26c-93c6-42a0-bebc-1a1a5e6dfe61,1,"August 17, 2022 (2022-08-17)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_18),false,0,,,12,lady morgana,Drag Race Philippines Season 1,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:13.785Z,2025-08-20T19:48:13.785Z
00dbe26c-93c6-42a0-bebc-1a1a5e6dfe61,1,"August 17, 2022 (2022-08-17)",10,,,,,https://rupaulsdragrace.fandom.com/wiki/RuPaul%27s_Drag_Race_(Season_18),false,0,,,12,lady morgana,Drag Race Philippines Season 2,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:48:13.785Z,2025-08-20T19:48:13.785Z
9c5851d9-8008-495c-b361-0ed2672ddb06,Hershii LiqCour-Jeté,14th place,"Los Angeles, California",,,,,https://rupaulsdragrace.fandom.com/wiki/Hershii_LiqCour-Jet%C3%A9,false,0,,,32,14th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:48:07.864Z,2025-08-20T19:48:07.864Z
02a8e7c8-8254-4fae-b440-49dbd55277b6,Mirage[e],13th place,"Las Vegas, Nevada",,,,,,false,0,,,29,13th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:48:05.327Z,2025-08-20T19:48:05.327Z
6f6a279e-9d7d-4193-ac87-9eb0eb4ddb2b,Amanda Tori Meating,12th place,"Los Angeles, California",,,,,https://rupaulsdragrace.fandom.com/wiki/Amanda_Tori_Meating,false,0,,,26,12th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:48:03.273Z,2025-08-20T19:48:03.273Z
32ef7608-d48e-4fb5-9f5d-0ea88a8a9eff,Geneva Karr,11th place,"Brownsville, Texas",,,,,https://rupaulsdragrace.fandom.com/wiki/Geneva_Karr,false,0,,,30,11th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:48:00.612Z,2025-08-20T19:48:00.612Z
48b00974-d6e3-4be0-8dd3-1dc74f3d73a6,Megami[d],10th place,"New York City, New York",,,,,,false,0,,,33,10th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:58.074Z,2025-08-20T19:47:58.074Z
